Genotype ,PLOT ID,REP,Fresh Weight,Leaf Area,SPAD 1,SPAD 2 ,SPAD 3,Field Location,Growth Stage,Source
B84 x 3IIH6,4216,1,8.3,261.1,51,56.4,60.8,HIPS,1,GH
B84 x 3IIH6,4216,2,5.45,199.8,50,51.5,58.5,HIPS,1,GH
2FACC x 3IIH6,4217,1,6.2,249.9,47.4,51.6,56.6,HIPS,1,GH
2FACC x 3IIH6,4217,2,8.7,318.1,47.7,60.4,58.6,HIPS,1,GH
B73 x PHZ51,4225,1,6.9,297.9,53,60.1,53.4,HIPS,1,GH
B73 x PHZ51,4225,2,5.6,246.7,48.9,54.5,61.6,HIPS,1,GH
B14A x Mo17,4234,1,9.25,368.9,46,51.1,55.2,HIPS,1,GH
B14A x Mo17,4234,2,7.5,304.8,47.2,50.4,54.4,HIPS,1,GH
B37 x Mo17,4236,1,6.45,265.1,48,45.3,56.5,HIPS,1,GH
B37 x Mo17,4236,2,9.7,388.6,54.6,58.8,55.2,HIPS,1,GH
B37 x H95,4244,1,7.75,327.6,51.5,45.8,53.8,HIPS,1,GH
B37 x H95,4244,2,8.35,337.3,54.6,52,55.1,HIPS,1,GH
PHZ51 x LH145,4247,1,6.5,281.8,41,53.9,51.2,HIPS,1,GH
PHZ51 x LH145,4247,2,7,296.4,47.7,54.8,54.3,HIPS,1,GH
B73 x Mo17,4256,1,9,303.6,54.2,58.2,56.6,HIPS,1,GH
B73 x Mo17,4256,2,6.1,247.8,52.2,51.7,56.8,HIPS,1,GH
LH123HT x 3IIH6,4260,1,6.7,183.8,53.1,54.6,50.5,HIPS,1,GH
LH123HT x 3IIH6,4260,2,7.5,158.6,51.5,50.5,54.3,HIPS,1,GH
B73 x 3IIH6,4267,1,9.35,170.8,57.5,54.6,60.1,HIPS,1,GH
B73 x 3IIH6,4267,2,10.3,316.6,50.9,56.4,56,HIPS,1,GH
F42 x OH43,4272,1,6.85,284.2,46.7,57.3,52,HIPS,1,GH
F42 x OH43,4272,2,6.9,273.8,45.5,57.1,56.4,HIPS,1,GH
F42 x Mo17,4273,1,6.3,255.4,53.8,53.6,40.5,HIPS,1,GH
F42 x Mo17,4273,2,7.3,285.6,49.6,47.9,49.8,HIPS,1,GH
B37 x OH43,4274,1,6,232.9,47.5,47.1,57.7,HIPS,1,GH
B37 x OH43,4274,2,5.05,193.5,42.6,56,50.7,HIPS,1,GH
PHK76 x 3IIH6,4277,1,8.9,323.1,56.2,53.4,57,HIPS,1,GH
PHK76 x 3IIH6,4277,2,7.8,273,48.8,56.7,57.4,HIPS,1,GH
PHJ40 x LH82,4279,1,6,275.8,44.6,47.8,47.6,HIPS,1,GH
PHJ40 x LH82,4279,2,6.21,277.5,45.7,47.3,50.5,HIPS,1,GH
WF9 x H95,4280,1,8.9,391.2,50.8,49.4,52.7,HIPS,1,GH
WF9 x H95,4280,2,9.75,412.3,51,50.9,52.6,HIPS,1,GH
B37 x H95,5116,1,7.25,309.5,51.3,48.8,49.9,HIPS,1,GH
B37 x H95,5116,2,,,,,,HIPS,1,GH
PHZ51 x LH145,5123,1,8.1,339.1,47.5,55.3,53.4,HIPS,1,GH
PHZ51 x LH145,5123,2,5.55,248.3,46.1,53.1,49.9,HIPS,1,GH
WF9 x H95,5126,1,7.7,322.6,50.7,54.8,56.3,HIPS,1,GH
WF9 x H95,5126,2,7.3,339.3,49.9,49.7,51.8,HIPS,1,GH
PHK76 x LH145,5128,1,5.45,250,45.4,54.4,58.7,HIPS,1,GH
PHK76 x LH145,5128,2,6.4,280.2,55.7,56.7,53,HIPS,1,GH
PHK76 x 3IIH6,5130,1,5.65,241.2,49.1,51.9,52.4,HIPS,1,GH
PHK76 x 3IIH6,5130,2,6.5,273.7,51.3,54.8,54.4,HIPS,1,GH
F42 x Mo17,5131,1,4.3,195.7,50.5,51.2,54.6,HIPS,1,GH
F42 x Mo17,5131,2,4.8,220.1,45,48.9,54.1,HIPS,1,GH
PHJ40 x LH82,5135,1,6.55,294.9,46.8,49.8,51.4,HIPS,1,GH
PHJ40 x LH82,5135,2,6.4,268,35.2,53,37.2,HIPS,1,GH
2FACC x 3IIH6,5144,1,6.7,267.3,50.3,58.5,60.3,HIPS,1,GH
2FACC x 3IIH6,5144,2,7.65,297.1,50,57.7,53.3,HIPS,1,GH
B73 x PHZ51,5147,1,3.75,172.7,45.9,49.6,51.3,HIPS,1,GH
B73 x PHZ51,5147,2,5.2,226.1,46.1,58.9,56.4,HIPS,1,GH
LH123HT x 3IIH6,5150,1,4.15,172.8,44.1,46.6,48.9,HIPS,1,GH
